SubjectAssgn,GenID,ExpAssgn,Vowel,Item,ItemType,RespNum,RespNum2,absRT,logAbsRT
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,540.88,2.733100923
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,452.14,2.65527293
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,798.55,2.902302114
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,494.59,2.694245331
a-i-subject-1,Subject1,a-i,i,i-23-2,diff,1,100,439.31,2.642771089
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,853.23,2.931066117
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,982.09,2.992151289
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,585.55,2.767563985
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,543.67,2.735335369
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,313.73,2.496556049
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,635.27,2.802958347
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,594.18,2.773918029
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,573.75,2.758722699
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,643.04,2.808237989
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,531.83,2.725772832
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,445.14,2.648496621
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,590.14,2.770955052
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,615.04,2.788903362
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,417.18,2.62032348
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,1061.6,3.02596091
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,781.2,2.892762235
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,434.45,2.637939802
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,734.43,2.865950409
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,550.65,2.740875644
a-i-subject-1,Subject1,a-i,i,i-23-23,same,1,100,628.8,2.798512533
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,491.98,2.691947448
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,1064.87,3.027296592
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,0,0,1126.82,3.051854547
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,555.12,2.744386874
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,853.65,2.931279845
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,534.64,2.728061448
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,0,0,1206.66,3.081584916
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,0,0,536.66,2.729699226
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,0,0,547.27,2.738201642
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,1163.28,3.065684261
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,591.78,2.772160284
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,416.85,2.619979806
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,652.1,2.8143142
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,646.16,2.81034007
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,0,0,908.73,2.958434866
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,0,0,587.26,2.768830421
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,776.38,2.890074339
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,0,0,428.72,2.632173744
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,771.06,2.887088174
a-i-subject-1,Subject1,a-i,i,i-23-4,diff,1,100,426.72,2.630142998
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,779.96,2.892072331
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,634.26,2.802267323
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,766.32,2.88441016
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,518.05,2.714371678
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,381.96,2.582017885
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,531.82,2.725764666
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,436.26,2.639745395
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,763.92,2.88304788
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,442.46,2.645874015
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,550.92,2.741088539
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,484.05,2.684890224
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,509.07,2.706777504
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,410.45,2.61326026
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,357.14,2.552838494
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,390.12,2.591198216
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,515.64,2.7123466
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,466.07,2.668451149
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,1201.72,3.079803289
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,520.83,2.716695992
a-i-subject-1,Subject1,a-i,i,i-23-square,diff,1,100,650.94,2.81354096
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,1522.71,3.1826172
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,475.72,2.67735141
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,615.54,2.78925628
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,468.93,2.671108018
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,660.97,2.820181748
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,866.45,2.937743506
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,516.39,2.712977823
a-i-subject-1,Subject1,a-i,i,i-2-square,diff,0,0,925.85,2.966540631
